Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-0879-01A-01W-0424-08,62,1,0.016129032258064516,0.12819675
TCGA-12-0691-01A-01W-0348-08,62,1,0.016129032258064516,0.041574076
TCGA-12-0657-01A-01W-0348-08,63,1,0.015873015873015872,0.06843217
TCGA-12-1597-01B-01W-0922-08,63,1,0.015873015873015872,0.0969394
TCGA-06-0686-01A-01D-1492-08,64,1,0.015625,0.031907946
TCGA-12-0692-01A-01D-1492-08,64,1,0.015625,0.04924374
TCGA-32-2495-01A-01D-1353-08,64,1,0.015625,0.042044174
TCGA-41-2575-01A-01D-1495-08,64,1,0.015625,0.049296837
TCGA-14-0817-01A-01D-1492-08,66,1,0.015151515151515152,0.047484133
TCGA-76-6286-01A-11D-1845-08,67,1,0.014925373134328358,0.026139567
TCGA-02-2486-01A-01W-0837-08,69,1,0.014492753623188406,0.080296114
TCGA-06-0174-01A-01D-1491-08,69,1,0.014492753623188406,0.034291226
TCGA-06-0192-01B-01D-1492-08,69,1,0.014492753623188406,0.18587014
TCGA-19-1789-01A-01W-0643-08,69,1,0.014492753623188406,0.040992808
TCGA-14-2554-01A-01D-1494-08,71,1,0.014084507042253521,0.0909025
TCGA-12-0707-01A-01W-0348-08,73,1,0.0136986301369863,0.029607799
TCGA-28-1746-01A-01W-0643-08,73,1,0.0136986301369863,0.030173631
TCGA-06-0744-01A-01D-1492-08,74,1,0.013513513513513514,0.02797144
TCGA-06-0744-01A-01W-0348-08,75,1,0.013333333333333334,0.022787321
TCGA-06-2563-01A-01D-1494-08,75,1,0.013333333333333334,0.017568232
TCGA-19-1387-01A-01W-0643-08,77,1,0.012987012987012988,0.16639818
TCGA-16-1045-01B-01D-1492-08,81,1,0.012345679012345678,0.20043208
TCGA-19-5954-01A-11D-1696-08,83,1,0.012048192771084338,0.029361242
TCGA-06-0122-01A-01D-1490-08,84,1,0.011904761904761904,0.080642015
TCGA-12-3649-01A-01D-1495-08,84,1,0.011904761904761904,0.03720509
TCGA-06-0877-01A-01W-0424-08,88,1,0.011363636363636364,0.09348459
TCGA-76-6656-01A-11D-1845-08,88,1,0.011363636363636364,0.023541683
TCGA-32-2632-01A-01D-1495-08,89,1,0.011235955056179775,0.13868457
TCGA-41-5651-01A-01D-1696-08,92,1,0.010869565217391304,0.019659458
TCGA-02-0003-01A-01D-1490-08,47,0,0.0,0.011725288
TCGA-02-2483-01A-01D-1494-08,49,0,0.0,0.04629552
TCGA-06-0126-01A-01D-1490-08,55,0,0.0,0.016197639
TCGA-06-0137-01A-01D-1490-08,77,0,0.0,0.011075104
TCGA-06-0139-01A-01D-1490-08,3,0,0.0,0.01500824
TCGA-06-0141-01A-01D-1490-08,15,0,0.0,0.19093321
TCGA-06-0152-02A-01D-2280-08,63,0,0.0,0.06921498
TCGA-06-0155-01B-01D-1492-08,70,0,0.0,0.031167256
